age_group,sex,frequency,ear,n,mean,std,median,q25,q75
60-79,male,4000,left,695,48.94964028776978,22.348859560291608,50.0,30.0,65.0
60-79,male,6000,right,683,50.76134699853587,23.29537792754262,50.0,30.0,65.0
60-79,male,6000,left,684,51.937134502923975,22.455692400945775,50.0,35.0,70.0
60-79,male,8000,right,653,55.77335375191424,23.56737035246378,60.0,35.0,75.0
60-79,male,8000,left,643,56.77293934681182,22.38605099255977,60.0,40.0,72.5
60-79,female,500,right,693,18.62193362193362,14.00912928029854,15.0,10.0,25.0
60-79,female,500,left,689,17.496371552975326,13.514432473139706,15.0,10.0,25.0
60-79,female,1000,right,694,19.96397694524496,15.510741956831593,15.0,10.0,25.0
60-79,female,1000,left,688,18.829941860465116,14.38871379633261,15.0,10.0,25.0
60-79,female,2000,right,693,23.78066378066378,16.872295796799936,20.0,10.0,30.0
60-79,female,2000,left,686,23.06122448979592,15.95712451327039,20.0,10.0,30.0
60-79,female,3000,right,692,27.333815028901736,17.65179724734139,25.0,15.0,35.0
60-79,female,3000,left,686,28.411078717201168,16.860010814767776,25.0,15.0,40.0
60-79,female,4000,right,692,31.01878612716763,19.110341332563927,25.0,15.0,45.0
60-79,female,4000,left,686,32.36880466472303,18.544705991762527,30.0,20.0,45.0
60-79,female,6000,right,692,40.122832369942195,20.460139470723064,40.0,25.0,55.0
60-79,female,6000,left,684,39.72222222222222,19.478832683878498,37.5,25.0,55.0
60-79,female,8000,right,671,46.870342771982116,20.90410656724822,45.0,30.0,60.0
60-79,female,8000,left,676,46.90828402366864,21.49550559775028,45.0,30.0,65.0
80-120,male,500,right,153,29.248366013071895,17.57288620430245,25.0,15.0,40.0
80-120,male,500,left,149,28.7248322147651,18.15059341610606,25.0,15.0,35.0
80-120,male,1000,right,154,34.12337662337662,20.389452586059974,30.0,20.0,45.0
80-120,male,1000,left,151,34.83443708609271,19.34267491449107,30.0,20.0,45.0
80-120,male,2000,right,149,48.85906040268456,20.28613563770076,50.0,35.0,60.0
80-120,male,2000,left,148,52.195945945945944,20.112154508233193,50.0,38.75,65.0
80-120,male,3000,right,146,60.821917808219176,17.772774580707598,60.0,50.0,70.0
80-120,male,3000,left,143,64.02097902097903,16.090180949213398,65.0,55.0,70.0
80-120,male,4000,right,139,66.43884892086331,17.312605405073853,65.0,55.0,80.0
80-120,male,4000,left,140,69.75,15.057742576853656,70.0,60.0,80.0
80-120,male,6000,right,127,70.35433070866142,15.445514867067768,70.0,60.0,82.5
80-120,male,6000,left,128,70.5078125,16.105457623299795,70.0,65.0,80.0
80-120,male,8000,right,86,71.16279069767442,13.18810557248354,75.0,65.0,80.0
80-120,male,8000,left,91,72.6923076923077,13.546374921146745,75.0,65.0,85.0
80-120,female,500,right,165,31.87878787878788,18.324243530384216,30.0,20.0,40.0
80-120,female,500,left,166,30.572289156626507,18.409587839627832,30.0,16.25,40.0
80-120,female,1000,right,165,33.24242424242424,19.38699322438463,30.0,20.0,45.0
80-120,female,1000,left,166,33.94578313253012,18.94017888114189,30.0,20.0,48.75
80-120,female,2000,right,164,41.798780487804876,19.000219526677792,40.0,25.0,55.0
80-120,female,2000,left,165,43.54545454545455,19.159298368389123,45.0,30.0,60.0
80-120,female,3000,right,162,45.30864197530864,17.155584698373648,45.0,30.0,58.75
80-120,female,3000,left,162,47.5,17.367510897725346,50.0,35.0,60.0
80-120,female,4000,right,162,51.48148148148148,18.2110546668032,55.0,36.25,65.0
80-120,female,4000,left,161,53.1055900621118,17.24768190383568,55.0,40.0,65.0
80-120,female,6000,right,158,59.81012658227848,18.766806276462443,60.0,46.25,70.0
80-120,female,6000,left,156,60.51282051282051,16.5117698703515,60.0,50.0,75.0
80-120,female,8000,right,130,64.1923076923077,15.979684851917673,67.5,60.0,75.0
80-120,female,8000,left,137,68.72262773722628,15.231415834988642,70.0,60.0,80.0
